"#","Reel","Match","V","C","Dur","Source In","Source Out","Record In","Record Out","Name","Comments","Source Start","Source End","Source Duration","Codec","Source FPS","Resolution","Color","Notes","EDL Clip Name","Marker Keywords"
"151","","","V1","C","","01:06:01:10","01:06:03:29","02:04:05:14","02:04:08:03","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"152","","","A1","C","","01:06:01:10","01:06:03:29","02:04:05:14","02:04:08:03","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"153","","","V1","C","","01:06:09:04","01:06:11:24","02:04:08:03","02:04:10:23","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"154","","","A1","C","","01:06:09:04","01:06:11:24","02:04:08:03","02:04:10:23","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"155","","","V1","C","","01:06:17:13","01:06:21:03","02:04:10:23","02:04:14:13","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"156","","","A1","C","","01:06:17:13","01:06:21:03","02:04:10:23","02:04:14:13","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"157","","","V1","C","","01:06:50:17","01:06:52:02","02:04:14:13","02:04:15:28","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"158","","","A1","C","","01:06:50:17","01:06:52:02","02:04:14:13","02:04:15:28","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"159","","","V1","C","","01:06:56:06","01:06:57:21","02:04:15:28","02:04:17:13","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"160","","","A1","C","","01:06:56:06","01:06:57:21","02:04:15:28","02:04:17:13","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"161","","","V1","C","","01:07:01:17","01:07:04:13","02:04:17:13","02:04:20:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"162","","","A1","C","","01:07:01:17","01:07:04:13","02:04:17:13","02:04:20:09","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"163","","","V1","C","","01:07:14:25","01:07:17:04","02:04:20:09","02:04:22:18","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"164","","","A1","C","","01:07:14:25","01:07:17:04","02:04:20:09","02:04:22:18","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
"165","","","V1","C","","01:07:23:10","01:07:27:16","02:04:22:18","02:04:26:24","Media Sync 2021-02-10-21:31:41","","01:00:00:00","01:14:17:26","00:14:17:26","","30.000","","en","","",""
